Record_No,Handle,ParcelID,Address,Add_Suffix,Direction,Name,Type,Class,Acquisition_dt,CenterX,CenterY,Value,Value_Estimated,Value_Est_Dt,Entered_Date,Usage,Cost,Property_Source,Purchase_Type,Parcel_Status
32948,"13746000760","37460007600","4253",,"W","FINNEY","AV","CC","07/17/81 00:00:00",5.7297420999999996e+05,1.0260308800000000e+06,,0,,"07/31/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
32949,"13746000770","37460007700","4255",,"W","FINNEY","AV","C","06/06/74 00:00:00",5.7295703000000003e+05,1.0260405000000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
32950,"13746000780","37460007800","4257",,"W","FINNEY","AV","CC","08/13/74 00:00:00",5.7294103000000003e+05,1.0260498800000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
32951,"13746000790","37460007900","4259",,"W","FINNEY","AV","C","08/28/84 00:00:00",5.7292468000000005e+05,1.0260587200000000e+06,,0,,"03/13/84 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Accepted Offer"
32992,"12425000210","24250002100","4139",,,"GLASGOW","AV","A","03/01/00 00:00:00",5.8282376000000001e+05,1.0308504160000000e+06,,0,,"02/14/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
32993,"12425000020","24250000200","4132",,,"GROVE","ST","A","03/01/00 00:00:00",5.8271655000000005e+05,1.0308370010000000e+06,,0,,"02/14/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
33005,"13753000110","37530001100","4038",,,"ENRIGHT","AV","C","05/04/78 00:00:00",5.7403266000000003e+05,1.0239772900000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
33006,"13753000150","37530001500","4024",,,"ENRIGHT","AV","C","05/31/77 00:00:00",5.7413689000000001e+05,1.0239191300000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
33007,"13753000170","37530001700","4018",,,"ENRIGHT","AV","C","06/06/74 00:00:00",5.7418856000000006e+05,1.0238901100000000e+06,,0,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
33008,"13753000180","37530001800","4016",,,"ENRIGHT","AV","C","03/05/92 00:00:00",5.7421443000000005e+05,1.0238753900000000e+06,,0,,"02/25/92 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
33009,"13753000260","37530002600","3960",,,"ENRIGHT","AV","C","08/13/74 00:00:00",5.7449892000000004e+05,1.0237167900000000e+06,0,1,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
33027,"12486000050","24860000500","4212",,"E","JOHN","AV","A","03/01/00 00:00:00",5.8158231000000006e+05,1.0320775429999999e+06,0,0,,"02/14/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
33028,"12486000040","24860000400","4210",,"E","JOHN","AV","A","03/01/00 00:00:00",5.8157052000000002e+05,1.0320561500000000e+06,0,0,,"02/14/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
33029,"12486000010","24860000100","4200",,"E","JOHN","AV","A","03/01/00 00:00:00",5.8152906999999995e+05,1.0319805649999999e+06,0,0,,"02/14/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
33030,"12475000270","24750002700","1923",,,"JOHN","AV","C","03/01/00 00:00:00",5.8288415000000002e+05,1.0337135780000000e+06,,0,,"02/14/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
33031,"12474000050","24740000500","1906",,,"JOHN","AV","C","03/01/00 00:00:00",5.8312771999999997e+05,1.0336711409999999e+06,,0,,"02/14/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
33033,"13629010130","36290101300","3828",,,"MAFFITT","AV","A","10/10/00 00:00:00",5.7825346999999997e+05,1.0279636740000000e+06,,0,"04/24/02 00:00:00","10/06/00 00:00:00","Residential",0.0000000000000000e+00,"Tax Suit",,"Available"
33054,"13760000270","37600002700","4558",,,"ENRIGHT","AV","A","06/06/74 00:00:00",5.7005319999999995e+05,1.0261493500000000e+06,0,1,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
33055,"11929000140","19290001400","3714",,,"LEE","AV","A",,5.8125929000000004e+05,1.0316448090000000e+06,,0,,"10/02/00 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Available"
33060,"13761060120","37610601200","4720",,,"KENSINGTON","AV","A","12/19/86 00:00:00",5.6973293000000005e+05,1.0265644100000000e+06,0,1,,"01/08/87 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
33061,"13761060130","37610601300","4718",,,"KENSINGTON","AV","A",,5.6975706000000006e+05,1.0265615000000000e+06,0,1,,"12/21/81 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
33062,"11159000150","11590001500","3320",,"N","FLORISSANT","AV","C",,5.8470892000000004e+05,1.0281229900000000e+06,,0,,"10/12/92 00:00:00","Residential",0.0000000000000000e+00,"Donations",,"Available"
33063,"13817070010","38170700100","1356",,,"BLACKSTONE","AV","A","02/26/75 00:00:00",5.6281368000000005e+05,1.0318287800000000e+06,0,1,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
33064,"13817070020","38170700200","1358",,,"BLACKSTONE","AV","A","05/04/78 00:00:00",5.6283070999999996e+05,1.0318619700000000e+06,0,1,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
33065,"13817070300","38170703000","1365",,,"TEMPLE","PL","A",,5.6295043000000005e+05,1.0318134399999999e+06,,0,,"03/04/92 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
33066,"13817090010","38170900100","1354",,,"GOODFELLOW","BLVD","A",,5.6232083999999997e+05,1.0321793400000000e+06,0,1,,"12/18/90 00:00:00","Vacant Lot",0.0000000000000000e+00,"Donations",,"Available"
33067,"13817090020","38170900200","1360",,,"GOODFELLOW","BLVD","A","08/13/74 00:00:00",5.6234170999999996e+05,1.0322200900000000e+06,0,1,,"03/15/80 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
33068,"13817090030","38170900300","1362",,,"GOODFELLOW","BLVD","A","03/05/92 00:00:00",5.6235383999999997e+05,1.0322411300000000e+06,0,1,,"05/08/92 00:00:00","Vacant Lot",0.0000000000000000e+00,"Tax Suit",,"Available"
